
Target connectome: 80 nodes, 255 edges, density=0.0398
  Out-degree: min=0, max=13, mean=3.19
  In-degree:  min=0, max=16, mean=3.19
Largest SCC: 24 nodes, 53 edges
Degree threshold for hubs (95th percentile): 7.0
Hub neurons: ['RIBL', 'RIS', 'RMDR']
G_C: 0.1565, G_rand_C: 0.0502, C_ratio: 3.1160
G_L: 4.3623, G_rand_L: 3.5905, L_ratio: 0.8231

NDP parameters breakdown:
  Embedding: 1
  Growth MLP: 4
  Transform MLP: 4
  Edge MLP: 5
  TOTAL: 14
============================================================
CMA-ES NDP Optimization
============================================================
  Target: 80 nodes, 255 edges
  Parameters: 14
  Metric: f1
  Population size: 128
  Max generations: 500
  Samples per eval: 1
============================================================
  Windows detected - using spawn multiprocessing with 24 workers
  Using 24 cores (parallel)
Gen  83 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen  84 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen  85 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen  86 | loss=0.6250 | f1=0.1149 prec=0.0651 rec=0.4889 jacc=0.0609 | nodes=30/80 edges=338/255
Gen  87 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen  88 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen  89 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen  90 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen  91 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen  92 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen  93 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
